tanggal,result,as,kop,kepala,ekor
2020-05-25,3498,3,4,9,8
2020-05-26,6602,6,6,0,2
2020-05-27,7988,7,9,8,8
2020-05-28,0466,0,4,6,6
2020-05-29,7260,7,2,6,0
2020-05-30,0120,0,1,2,0
2020-05-31,4277,4,2,7,7
2020-06-01,5723,5,7,2,3
2020-06-02,2479,2,4,7,9
2020-06-03,7242,7,2,4,2
2020-06-04,4635,4,6,3,5
2020-06-05,1717,1,7,1,7
2020-06-06,7856,7,8,5,6
2020-06-07,1013,1,0,1,3
2020-06-08,3265,3,2,6,5
2020-06-09,9055,9,0,5,5
2020-06-10,5901,5,9,0,1
2020-06-11,3576,3,5,7,6
2020-06-12,2518,2,5,1,8
2020-06-13,3671,3,6,7,1
2020-06-14,4062,4,0,6,2
2020-06-15,5312,5,3,1,2
2020-06-16,7682,7,6,8,2
2020-06-17,6570,6,5,7,0
2020-06-18,6398,6,3,9,8
2020-06-19,6832,6,8,3,2
2020-06-20,0591,0,5,9,1
2020-06-21,2678,2,6,7,8
2020-06-22,0343,0,3,4,3
2020-06-23,2416,2,4,1,6
2020-06-24,3022,3,0,2,2
2020-06-25,1292,1,2,9,2
2020-06-26,0036,0,0,3,6
2020-06-27,5548,5,5,4,8
2020-06-28,7561,7,5,6,1
2020-06-29,0167,0,1,6,7
2020-06-30,4386,4,3,8,6
2020-07-01,5200,5,2,0,0
2020-07-02,6308,6,3,0,8
2020-07-03,0747,0,7,4,7
2020-07-04,7765,7,7,6,5
2020-07-05,8103,8,1,0,3
2020-07-06,7801,7,8,0,1
2020-07-07,2713,2,7,1,3
2020-07-08,3424,3,4,2,4
2020-07-09,9888,9,8,8,8
2020-07-10,4727,4,7,2,7
2020-07-11,5282,5,2,8,2
2020-07-12,7183,7,1,8,3
2020-07-13,1416,1,4,1,6
2020-07-14,8192,8,1,9,2
2020-07-15,6742,6,7,4,2
2020-07-16,0370,0,3,7,0
2020-07-17,0339,0,3,3,9
2020-07-18,4168,4,1,6,8
2020-07-19,2307,2,3,0,7
2020-07-20,8525,8,5,2,5
2020-07-21,1703,1,7,0,3
2020-07-22,8586,8,5,8,6
2020-07-23,6055,6,0,5,5
2020-07-24,9316,9,3,1,6
2020-07-25,3712,3,7,1,2
2020-07-26,9931,9,9,3,1
2020-07-27,8872,8,8,7,2
2020-07-28,0517,0,5,1,7
2020-07-29,8484,8,4,8,4
2020-07-30,1847,1,8,4,7
2020-07-31,7413,7,4,1,3
2020-08-01,8198,8,1,9,8
2020-08-02,1652,1,6,5,2
2020-08-03,4558,4,5,5,8
2020-08-04,5228,5,2,2,8
2020-08-05,2083,2,0,8,3
2020-08-06,4419,4,4,1,9
2020-08-07,8445,8,4,4,5
2020-08-08,4856,4,8,5,6
2020-08-09,3254,3,2,5,4
2020-08-10,3341,3,3,4,1
2020-08-11,7284,7,2,8,4
2020-08-12,6504,6,5,0,4
2020-08-13,7122,7,1,2,2
2020-08-14,6891,6,8,9,1
2020-08-15,6086,6,0,8,6
2020-08-16,5126,5,1,2,6
2020-08-17,8704,8,7,0,4
2020-08-18,7064,7,0,6,4
2020-08-19,8520,8,5,2,0
2020-08-20,8453,8,4,5,3
2020-08-21,0963,0,9,6,3
2020-08-22,2488,2,4,8,8
2020-08-23,6449,6,4,4,9
2020-08-24,7292,7,2,9,2
2020-08-25,1444,1,4,4,4
2020-08-26,2997,2,9,9,7
2020-08-27,1647,1,6,4,7
2020-08-28,0808,0,8,0,8
2020-08-29,7329,7,3,2,9
2020-08-30,1571,1,5,7,1
2020-08-31,3848,3,8,4,8
2020-09-01,9816,9,8,1,6
2020-09-02,2500,2,5,0,0
2020-09-03,9516,9,5,1,6
2020-09-04,6895,6,8,9,5
2020-09-05,7022,7,0,2,2
2020-09-06,1218,1,2,1,8
2020-09-07,3231,3,2,3,1
